Financial_Mapping_Ledger_2026-09-13_v172.txt
================================================================================
MERCHANT & PAYEE MAPPING LEDGER
Date: 2026-09-13 (Version 172)
Role: Deterministic Dictionary for CSV/PDF Transaction Mapping & Batch Accumulator
File Name: Financial_Mapping_Ledger_2026-09-13_v172.txt
================================================================================
Merchant_String                     | Target_Label                        | Status         | Hit_Count | Last_Seen
-------------------------------------------------------------------------------------------------------------------
SAFE TOUCH                          | Safetouch_Alarm                     | [MAPPED]       | 0         | 2024-11
SPOTIFY                             | Spotify                             | [MAPPED]       | 0         | 2024-11
AUTO-OWNERS                         | Car_Umbrella_Insurance              | [MAPPED]       | 0         | 2024-11
Alloda Shoe Cleaner                 | Outdoors                            | [MAPPED]       | 0         | 2024-11
Mighty Max Battery, ML9-12 - 12 V.. | Car                                 | [MAPPED]       | 1         | 2024-11
MIER Men's 2 in 1 5"" Workout Run.. | Clothes                             | [MAPPED]       | 1         | 2024-11
G Gradual Men's Hiking Cargo Shor.. | Clothes                             | [MAPPED]       | 1         | 2024-11
COFFEE BEAR - Cold Brew Coffee Ma.. | Cookware                            | [MAPPED]       | 1         | 2024-11
BUYDEEM K176 Tea Maker, Multifunc.. | Cookware                            | [MAPPED]       | 1         | 2024-11
Navitas Organics Chia Seeds, 16 o.. | Food                                | [MAPPED]       | 1         | 2024-11
Brunswick Boneless Kipper Style H.. | Food                                | [MAPPED]       | 1         | 2024-11
PHARBEST Senna Plus Vegetable Lax.. | Food                                | [MAPPED]       | 1         | 2024-11
Integrative Therapeutics - Cortis.. | Supplements                         | [MAPPED]       | 1         | 2024-11
Sistema Microwave Egg Cooker and .. | Cookware                            | [MAPPED]       | 1         | 2024-11
FGO Organic Ceylon Cinnamon Powde.. | Food                                | [MAPPED]       | 1         | 2024-11
NANK Runner Diver2 Pro - Bone Con.. | Electronic_Equipment                | [MAPPED]       | 1         | 2024-11
Mighty Max Battery, ML9-12 - 12 Volt 9 A* | Office_Supplies                     | [MAPPED]       | 2         | 2024-11
MIER Men's 2 in 1 5" Workout Running Sho* | Clothes                             | [MAPPED]       | 2         | 2024-11
COFFEE BEAR - Cold Brew Coffee Maker and* | Cookware                            | [MAPPED]       | 2         | 2024-11
BUYDEEM K176 Tea Maker, Multifunctional* | Cookware                            | [MAPPED]       | 2         | 2024-11
Navitas Organics Chia Seeds, 16 oz. Bag,* | Food                                | [MAPPED]       | 2         | 2024-11
PHARBEST Senna Plus Vegetable Laxative w* | Supplements                         | [MAPPED]       | 2         | 2024-11
Integrative Therapeutics - Cortisol Mana* | Supplements                         | [MAPPED]       | 3         | 2024-12
Sistema Microwave Egg Cooker and Poacher* | Cookware                            | [MAPPED]       | 2         | 2024-11
FGO Organic Ceylon Cinnamon Powder, 100%* | Food                                | [MAPPED]       | 2         | 2024-11
NANK Runner Diver2 Pro - Bone Conduction* | Clothes                             | [MAPPED]       | 2         | 2024-11
All New, Made for Amazon, Wireles.. | Electronic_Equipment                | [MAPPED]       | 1         | 2024-12
Kaboom Scrub Free! Toilet Bowl Cl.. | House_Maintenance                   | [MAPPED]       | 1         | 2024-12
Crest Pro-Health Enamel Repair an.. | Hygene                              | [MAPPED]       | 1         | 2024-12
TheraBreath Healthy Gums Mouthwas.. | Hygene                              | [MAPPED]       | 1         | 2024-12
Nutricost Glucomannan 1,800mg Per.. | Supplements                         | [MAPPED]       | 1         | 2024-12
Integrative Therapeutics - Cortis.. | Supplements                         | [MAPPED]       | 1         | 2024-12
All New, Made for Amazon, Wireless Charg* | Electronic_Equipment                | [MAPPED]       | 2         | 2024-12
PAYPAL *GLBE JABRA                  | Electronic_Equipment                | [MAPPED]       | 3         | 2024-12
Kindle Svcs*Z34LV5B80               | Kindle_Books                        | [MAPPED]       | 3         | 2024-12
Kindle Svcs*Z328C6XD2               | Kindle_Books                        | [MAPPED]       | 3         | 2024-12
NOW Coq10 100 mg,180 Veg Capsules   | Supplements                         | [MAPPED]       | 3         | 2024-12
H&amp;R BLOCK TAX SOFTWARE          | Software                            | [MAPPED]       | 3         | 2024-12
